Codigo_Accidente;Formulario;Fecha_Acc;AA_Acc;Codigo_Vehiculo;Clase;Servicio;Modalidad;Vehiculo_Viajaba_Clasificado;Tipo_SITP;Con_Bicicleta;Con_Carga;Con_Embriaguez;Con_Huecos;Con_Menores;Con_Moto;Con_Peaton;Con_Persona_Mayor;Con_Rutas;Con_Tpi;Con_Tpp;Con_Velocidad;Con_Sitp;Con_Troncal;Con_Alimentador;Con_Zonal;Con_Provisional;Con_Articulado;Con_Biarticulado;Con_Padron_Dual
10591538;A001571099;27/05/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ZONAL;;;;;;;SI;;;;SI;;SI;;;SI;;;;
10591539;A001571136;26/05/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;SI;;;;;SI;;;;;;;;;;;;;;
10591539;A001571136;26/05/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;;;;SI;;;;;;;;;;;;;;
10591540;A001571033;26/05/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;SI;;;;;;;;;;;;;
10591541;A001571037;26/05/2023;2023;1;Microbus;Publico;;TRANSPORTE DE PASAJEROS;;;;;;SI;SI;;;;;SI;;;;;;;;;
10591541;A001571037;26/05/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;SI;SI;;;;;SI;;;;;;;;;
10591542;A001571061;27/05/2023;2023;1;Automovil;Particular;;LIVIANO;;;;;;;;;;;SI;;;;;;;;;;
10591542;A001571061;27/05/2023;2023;2;Automovil;Publico;Pasajeros - Individual;TAXI;;;;;;;;;;;SI;;;;;;;;;;
10591543;A001571075;26/05/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;SI;SI;SI;;;;;;;;;;;;;
10591544;A001571190;27/05/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;SI;;;;;;;;;;;;;
10591545;A001571193;26/05/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;SI;;;;;;;;;;;;;
10591545;A001571193;26/05/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;SI;;;;;;;;;;;;;
10591546;A001570632;19/05/2023;2023;1;Campero;Particular;;LIVIANO;;;;;;;;;;;;;;;;;;;;;
10591546;A001570632;19/05/2023;2023;2;Campero;Particular;;LIVIANO;;;;;;;;;;;;;;;;;;;;;
10591547;A001570729;25/05/2023;2023;1;Automovil;Particular;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10591547;A001570729;25/05/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10591549;A001570791;26/05/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;SI;;;;;SI;;;;;;;;;;;;;;
10591549;A001570791;26/05/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;;;;SI;;;;;;;;;;;;;;
10591550;A001570946;27/05/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10591550;A001570946;27/05/2023;2023;2;Automovil;Particular;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10591551;A001568830;19/05/2023;2023;1;Campero;Particular;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10591551;A001568830;19/05/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10591552;A001570562;26/05/2023;2023;1;Bicicleta;Sin información;;BICICLETA;;SI;;;;SI;SI;;;;;;;;;;;;;;
10591552;A001570562;26/05/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;SI;;;;SI;SI;;;;;;;;;;;;;;
10591553;A001571951;26/05/2023;2023;1;Microbus;Publico;Pasajeros - Colectivo;TRANSPORTE DE PASAJEROS;;;;;;;;;;;;SI;;;;;;;;;
10591554;A001571027;26/05/2023;2023;1;Automovil;Particular;;LIVIANO;;;;;;;SI;;SI;;;;;;;;;;;;
10591554;A001571027;26/05/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;SI;;;;;;;;;;;;
10591555;A001571124;26/05/2023;2023;1;Camioneta;Particular;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10591555;A001571124;26/05/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10591556;A001571069;27/05/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;SI;SI;;;;;;;;;;;;
10591557;A001569822;28/05/2023;2023;1;Automovil;Particular;;LIVIANO;;;;;;;;;;;;;;;;;;;;;
10591558;A001571130;26/05/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10591558;A001571130;26/05/2023;2023;2;Cuatrimoto;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10591559;A001571135;26/05/2023;2023;1;Bicicleta;Sin información;;BICICLETA;;SI;;;;;SI;;;;;;;;;;;;;;
10591559;A001571135;26/05/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;SI;;;;;SI;;;;;;;;;;;;;;
10591560;A001570784;19/05/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ZONAL;;;;;;;;;;;SI;;SI;;;SI;;;;
10591561;A001570530;26/05/2023;2023;1;Automovil;Sin información;;LIVIANO;;;;;;SI;;SI;;;;;;;;;;;;;
10591562;A001571106;27/05/2023;2023;1;Camion, Furgon;Publico;;CARGA;;;SI;;;;;;;;;;;;;;;;;;
10591563;A001571006;25/05/2023;2023;1;Automovil;Publico;Pasajeros - Individual;TAXI;;;;;;;SI;;;;SI;;;;;;;;;;
10591563;A001571006;25/05/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;SI;;;;;;;;;;
10591564;A001570758;26/05/2023;2023;1;Automovil;Publico;Pasajeros - Individual;TAXI;;;;;;;SI;;;;SI;;;;;;;;;;
10591564;A001570758;26/05/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;SI;;;;;;;;;;
10591564;A001570758;26/05/2023;2023;3;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;SI;;;;;;;;;;
10591565;A001571207;27/05/2023;2023;1;Automovil;Particular;;LIVIANO;;;;SI;;;;;;;;;;;;;;;;;
10591565;A001571207;27/05/2023;2023;2;Automovil;Particular;;LIVIANO;;;;SI;;;;;;;;;;;;;;;;;
10591566;A001571007;26/05/2023;2023;1;Bicicleta;Sin información;;BICICLETA;;SI;;;;;;;;;;;;;;;;;;;
10591566;A001571007;26/05/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;;;;;;;;;;;;;;;;;;
10591567;A001570809;19/05/2023;2023;1;Automovil;Particular;;LIVIANO;;;;;;;;;SI;;;;;;;;;;;;
10591567;A001570809;19/05/2023;2023;2;Automovil;Sin información;;LIVIANO;;;;;;;;;SI;;;;;;;;;;;;
10591568;A001571222;28/05/2023;2023;1;Automovil;Particular;;LIVIANO;;;;SI;;;;;;;SI;;;;;;;;;;
10591568;A001571222;28/05/2023;2023;2;Automovil;Publico;Pasajeros - Individual;TAXI;;;;SI;;;;;;;SI;;;;;;;;;;
10591568;A001571222;28/05/2023;2023;3;Automovil;Publico;Pasajeros - Individual;TAXI;;;;SI;;;;;;;SI;;;;;;;;;;
10591569;A001571166;26/05/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10591569;A001571166;26/05/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10591570;A001570951;27/05/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;SI;;;;;;;;;;;;;
10591571;A001571102;26/05/2023;2023;1;Automovil;Sin información;;LIVIANO;;;;;;;;;;;;;;;;;;;;;
10591572;A001570368;19/05/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10591572;A001570368;19/05/2023;2023;2;Automovil;Particular;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10591573;A001569772;27/05/2023;2023;1;Automovil;Publico;Pasajeros - Individual;TAXI;;;;;;;SI;;;;SI;;;;;;;;;;
10591573;A001569772;27/05/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;SI;;;;;;;;;;
10591574;A001571243;27/05/2023;2023;1;Automovil;Particular;;LIVIANO;;SI;;;;;;;;;;;;;;;;;;;
10591574;A001571243;27/05/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;;;;;;;;;;;;;;;;;;
10591575;A001570691;26/05/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ZONAL;SI;;;;;;;;;;SI;;SI;;;SI;;;;
10591575;A001570691;26/05/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;;;;;;;;;SI;;SI;;;SI;;;;
10591576;A001569537;27/05/2023;2023;1;Tractocamion;Publico;;CARGA;;;SI;;;;;;SI;;;;;;;;;;;;
10591576;A001569537;27/05/2023;2023;2;Automovil;Particular;;LIVIANO;;;SI;;;;;;SI;;;;;;;;;;;;
10591577;A001570970;28/05/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10591577;A001570970;28/05/2023;2023;2;Automovil;Particular;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10591578;A001571192;27/05/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ZONAL;SI;;SI;;;;;;;;SI;;SI;;;SI;;;;
10591578;A001571192;27/05/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;SI;;;;;;;;SI;;SI;;;SI;;;;
10591579;A001570631;19/05/2023;2023;1;Camioneta;Publico;;LIVIANO;;SI;;;;;;;;;;;;;;;;;;;
10591579;A001570631;19/05/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;;;;;;;;;;;;;;;;;;
10591580;A001571165;26/05/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ZONAL;SI;;;;;;;;;;SI;;SI;;;SI;;;;
10591580;A001571165;26/05/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;;;;;;;;;SI;;SI;;;SI;;;;
10591581;A001570862;27/05/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;SI;SI;;;;;;;;;;;;
10591582;A001571218;27/05/2023;2023;1;Automovil;Particular;;LIVIANO;;SI;;;;;;;;;;;;;;;;;;;
10591582;A001571218;27/05/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;;;;;;;;;;;;;;;;;;
10591583;A001570645;26/05/2023;2023;1;Buseta;Publico;;TRANSPORTE DE PASAJEROS;ZONAL;SI;;;;;;;;;;SI;;SI;;;SI;;;;
10592309;A001570765;11/06/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;SI;;;;;;;;;;;;;
10592310;A001571860;11/06/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;SI;;;;;;;;;;;;
10592310;A001571860;11/06/2023;2023;2;Camioneta;Particular;;LIVIANO;;;;;;;SI;;SI;;;;;;;;;;;;
10592311;A001571826;11/06/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ALIMENTADOR;;;;;;;;;;;SI;;SI;;SI;;;;;
10592311;A001571826;11/06/2023;2023;2;Microbus;Publico;Pasajeros - Colectivo;TRANSPORTE DE PASAJEROS;;;;;;;;;;;;SI;;SI;;SI;;;;;
10592312;A001571740;10/06/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;SI;;;;;;;;;;;;;
10592313;A001571827;10/06/2023;2023;1;Automovil;Particular;;LIVIANO;;;;;;;;SI;SI;;;;;;;;;;;;
10592314;A001571868;11/06/2023;2023;1;Automovil;Publico;Pasajeros - Individual;TAXI;;;;;;;SI;;;;SI;;;;;;;;;;
10592314;A001571868;11/06/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;SI;;;;;;;;;;
10592315;A001571126;10/06/2023;2023;1;Automovil;Particular;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10592315;A001571126;10/06/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10592316;A001571709;10/06/2023;2023;1;Camioneta;Publico;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10592316;A001571709;10/06/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10592317;A001571773;12/06/2023;2023;1;Automovil;Particular;;LIVIANO;;SI;;;;;;;;;;;;;;;;;;;
10592317;A001571773;12/06/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;;;;;;;;;;;;;;;;;;
10592318;A001571623;10/06/2023;2023;1;Camioneta;Publico;;LIVIANO;;;;;;;;SI;SI;;;;;;;;;;;;
10592319;A001571710;11/06/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10592319;A001571710;11/06/2023;2023;2;Automovil;Particular;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10592320;A001571776;12/06/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10592321;A001571734;12/06/2023;2023;1;Camion, Furgon;Particular;;CARGA;;;SI;;;;SI;;;;;;;;;;;;;;
10592321;A001571734;12/06/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;SI;;;;SI;;;;;;;;;;;;;;
10592322;A001571880;11/06/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ZONAL;;;;;;;;;;;SI;;SI;;;SI;;;;
10592322;A001571880;11/06/2023;2023;2;Camioneta;Publico;;LIVIANO;;;;;;;;;;;;SI;;SI;;;SI;;;;
10592323;A001571946;12/06/2023;2023;1;Automovil;Particular;;LIVIANO;;;;;;SI;;;;;;;;;;;;;;;
10592323;A001571946;12/06/2023;2023;2;Automovil;Particular;;LIVIANO;;;;;;SI;;;;;;;;;;;;;;;
10592323;A001571946;12/06/2023;2023;3;Automovil;Particular;;LIVIANO;;;;;;SI;;;;;;;;;;;;;;;
10592324;A001571886;11/06/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;SI;;;SI;;;;;;;;;;;;;;
10592324;A001571886;11/06/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;SI;;;SI;;;;;;;;;;;;;;
10592325;A001572112;13/06/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10592325;A001572112;13/06/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10592326;A001571525;13/06/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ALIMENTADOR;;;;;;;;;;;SI;;SI;;SI;;;;;
10592327;A001571656;13/06/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;SI;SI;SI;;;;;;;;;;;;;
10592328;A001571888;12/06/2023;2023;1;Bicicleta;Sin información;;BICICLETA;;SI;;;;;;;;;;;;;;;;;;;
10592328;A001571888;12/06/2023;2023;2;Automovil;Sin información;;LIVIANO;;SI;;;;;;;;;;;;;;;;;;;
10592329;A001571887;11/06/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ZONAL;;;;;;;;;;;SI;;SI;;;SI;;;;
10592330;A001571728;13/06/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;SI;SI;;;;;;;;;;;;
10592331;A001570704;12/06/2023;2023;1;Automovil;Publico;Pasajeros - Individual;TAXI;;;;;;;SI;;;;SI;;;;;;;;;;
10592331;A001570704;12/06/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;SI;;;;;;;;;;
10592332;A001571053;12/06/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ZONAL;;;;;;SI;;;;;SI;;SI;;;SI;;;;
10592332;A001571053;12/06/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;SI;;SI;;;SI;;;;
10592333;A001572144;13/06/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ALIMENTADOR;SI;;;;;;;;;;SI;;SI;;SI;;;;;
10592333;A001572144;13/06/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;;;;;;;;;SI;;SI;;SI;;;;;
10592334;A001571737;13/06/2023;2023;1;Camion, Furgon;Publico;;CARGA;;;SI;;;;SI;;;;;;;;;;;;;;
10592334;A001571737;13/06/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;SI;;;;SI;;;;;;;;;;;;;;
10592335;A001571235;13/06/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10592335;A001571235;13/06/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10592336;A001571286;14/06/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;SI;;SI;;;SI;;;;
10592336;A001571286;14/06/2023;2023;2;Bus;Publico;;TRANSPORTE DE PASAJEROS;ZONAL;;;;;;SI;;;;;SI;;SI;;;SI;;;;
10592337;A001571456;14/06/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10592337;A001571456;14/06/2023;2023;2;Automovil;Sin información;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10592338;A001571876;13/06/2023;2023;1;Automovil;Publico;Pasajeros - Individual;TAXI;;;;;;;;;;;SI;;;;;;;;;;
10592338;A001571876;13/06/2023;2023;2;Automovil;Sin información;;LIVIANO;;;;;;;;;;;SI;;;;;;;;;;
10592339;A001571729;13/06/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10592339;A001571729;13/06/2023;2023;2;Automovil;Particular;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10592340;A001572107;14/06/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;SI;;;;;SI;;;;;;;;;;;;;;
10592340;A001572107;14/06/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;;;;SI;;;;;;;;;;;;;;
10592341;A001572141;13/06/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;SI;;SI;;;SI;;;;
10592341;A001572141;13/06/2023;2023;2;Bus;Publico;Pasajeros - Colectivo;TRANSPORTE DE PASAJEROS;ZONAL;;;;;;SI;;;;;SI;;SI;;;SI;;;;
10592342;A001571065;13/06/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ZONAL;SI;;;;;;;;;;SI;;SI;;;SI;;;;
10592342;A001571065;13/06/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;;;;;;;;;SI;;SI;;;SI;;;;
10592343;A001571359;13/06/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ZONAL;;;;;;;;;;;SI;;SI;;;SI;;;;
10592344;A001571597;13/06/2023;2023;1;Bus;Publico;Pasajeros - Colectivo;TRANSPORTE DE PASAJEROS;ZONAL;;;;;;;;;;;SI;;SI;;;SI;;;;
10592345;A001572109;12/06/2023;2023;1;Automovil;Particular;;LIVIANO;;SI;;;;;;;;;;;;;;;;;;;
10592345;A001572109;12/06/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;;;;;;;;;;;;;;;;;;
10592346;A001571437;13/06/2023;2023;1;Campero;Particular;;LIVIANO;;;;;;;SI;SI;;;;;;;;;;;;;
10592346;A001571437;13/06/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;SI;;;;;;;;;;;;;
10592347;A001571016;13/06/2023;2023;1;Automovil;Particular;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10592347;A001571016;13/06/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10592348;A001571687;13/06/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10592349;A001571821;13/06/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ZONAL;SI;;;;;;;;;;SI;;SI;;;SI;;;;
10592349;A001571821;13/06/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;;;;;;;;;SI;;SI;;;SI;;;;
10592350;A001571762;14/06/2023;2023;1;Automovil;Particular;;LIVIANO;;;;;;SI;;SI;;;;;;;;;;;;;
10592351;A001571735;14/06/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10592351;A001571735;14/06/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10592352;A001570260;14/06/2023;2023;1;Camioneta;Publico;;LIVIANO;;;;;;;;SI;;;;;;;;;;;;;
10592353;A001571516;13/06/2023;2023;1;Camion, Furgon;Publico;;CARGA;;SI;SI;;;;;;;;;;;;;;;;;;
10592353;A001571516;13/06/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;SI;;;;;;;;;;;;;;;;;;
10592354;A001568152;14/06/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10592354;A001568152;14/06/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10592355;A001571877;14/06/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ZONAL;SI;;;;;;;;;;SI;;SI;;;SI;;;;
10592355;A001571877;14/06/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;;;;;;;;;SI;;SI;;;SI;;;;
10592356;A001571850;14/06/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10592356;A001571850;14/06/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10592357;A001572134;13/06/2023;2023;1;Automovil;Particular;;LIVIANO;;;;;;;;;SI;;;;;;;;;;;;
10593098;A001571724;02/07/2023;2023;1;Camioneta;Publico;;LIVIANO;;;;;;;;;;;;;;;;;;;;;
10593099;A001572808;02/07/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10593099;A001572808;02/07/2023;2023;2;Automovil;Sin información;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10593100;A001572586;03/07/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10593100;A001572586;03/07/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10593101;A001571833;01/07/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10593101;A001571833;01/07/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10593102;A001572729;30/06/2023;2023;1;Campero;Particular;;LIVIANO;;SI;;;;;;;SI;;;;;;;;;;;;
10593102;A001572729;30/06/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;;;;;;SI;;;;;;;;;;;;
10593103;A001572840;30/06/2023;2023;1;Automovil;Publico;Pasajeros - Individual;TAXI;;;;;;;;SI;SI;;SI;;;;;;;;;;
10593104;A001572888;03/07/2023;2023;1;Automovil;Particular;;LIVIANO;;;;;;;;;;;;;;;;;;;;;
10593105;A001572539;01/07/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;SI;;;;;;;;;;
10593105;A001572539;01/07/2023;2023;2;Automovil;Publico;Pasajeros - Individual;TAXI;;;;;;;SI;;;;SI;;;;;;;;;;
10593106;A001572425;01/07/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10593106;A001572425;01/07/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10593107;A001572868;30/06/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;SI;;;;;SI;;;;;;;;;;;;;;
10593107;A001572868;30/06/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;;;;SI;;;;;;;;;;;;;;
10593108;A001572666;30/06/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10593108;A001572666;30/06/2023;2023;2;Automovil;Particular;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10593109;A001572835;02/07/2023;2023;1;Automovil;Sin información;;LIVIANO;;;;;;;;SI;SI;;;;;;;;;;;;
10593110;A001572590;30/06/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ZONAL;;;;;;;;;;;SI;;SI;;;SI;;;;
10593111;A001571730;02/07/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;SI;;;;;SI;;;;;;;;;;;;;;
10593111;A001571730;02/07/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;;;;SI;;;;;;;;;;;;;;
10593112;A001572335;30/06/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;SI;;;;;;;;;;
10593112;A001572335;30/06/2023;2023;2;Automovil;Publico;Pasajeros - Individual;TAXI;;;;;;;SI;;;;SI;;;;;;;;;;
10593113;A001572736;29/06/2023;2023;1;Camioneta;Particular;;LIVIANO;;;;;;SI;;;;;;;;;;;;;;;
10593113;A001572736;29/06/2023;2023;2;Automovil;Particular;;LIVIANO;;;;;;SI;;;;;;;;;;;;;;;
10593114;A001572638;30/06/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10593114;A001572638;30/06/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10593115;A001572839;29/06/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;SI;;;;;;;;;;;;;
10593116;A001572706;28/06/2023;2023;1;Camioneta;Particular;;LIVIANO;;;;SI;;;;;;;;;;;;;;;;;
10593117;A001572853;30/06/2023;2023;1;Motocicleta;Oficial;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10593117;A001572853;30/06/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10593118;A001570277;30/06/2023;2023;1;Automovil;Publico;Pasajeros - Individual;TAXI;;;;;;SI;;SI;SI;;SI;;;;;;;;;;
10593119;A001572740;30/06/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10593119;A001572740;30/06/2023;2023;2;Campero;Particular;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10593120;A001571486;30/06/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;SI;;;;;SI;;;;;;;;;;;;;;
10593120;A001571486;30/06/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;;;;SI;;;;;;;;;;;;;;
10593121;A001572422;01/07/2023;2023;1;Camioneta;Publico;;LIVIANO;;;;;;;;SI;;;;;;;;;;;;;
10593122;A001572754;02/07/2023;2023;1;Automovil;Particular;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10593122;A001572754;02/07/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
